snapshot_id,affected_team,group,live_elo,price_after,price_before,price_change,price_change_percent,round_32_probability_after,champion_probability_after,model_version,bracket_mode,trigger_match_ids,trigger_matches,relationship_to_matches
2026-06-18T18:17:55.224279+00:00,Morocco,C,1978.3945421301296,29.5,29.49,0.0100000000000015,0.0339097999321857,0.89935,0.01675,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,South Korea,A,1891.8396569532424,28.55,28.42,0.129999999999999,0.4574243490499612,0.96985,0.00845,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,same_group
2026-06-18T18:17:55.224279+00:00,Belgium,G,1917.9592595919628,27.1,27.44,-0.3399999999999998,-1.2390670553935854,0.8247,0.0128,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Canada,B,1858.59205323128,26.37,26.25,0.120000000000001,0.4571428571428609,0.8688,0.00875,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Switzerland,B,1909.2385191872604,26.34,25.95,0.3900000000000005,1.5028901734104068,0.84675,0.0085,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Ecuador,E,1948.2965124260768,26.19,25.63,0.5600000000000023,2.184939523995327,0.84115,0.0124,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Austria,J,1899.1494781075417,26.13,25.94,0.1899999999999977,0.7324595219737768,0.9552,0.0083,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Uruguay,H,1938.03954351165,23.8,23.66,0.1400000000000005,0.5917159763313633,0.78425,0.0165,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Scotland,C,1842.112163634046,22.69,22.56,0.1300000000000025,0.5762411347517844,0.8751,0.0025,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Ivory Coast,E,1841.6886324406616,22.62,22.83,-0.2099999999999973,-0.9198423127463746,0.954,0.0015,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Sweden,F,1804.2553640293067,22.05,22.07,-0.0199999999999995,-0.0906207521522409,0.9536,0.001,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Croatia,L,1919.1024268895728,19.24,19.11,0.129999999999999,0.6802721088435322,0.71055,0.003,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Iran,G,1872.456751220767,19.11,19.13,-0.0199999999999995,-0.1045478306325121,0.64545,0.0031,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Senegal,I,1876.0534042074933,18.34,17.92,0.4199999999999981,2.3437499999999893,0.60865,0.00225,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Egypt,G,1805.1380654223528,18.08,17.97,0.1099999999999994,0.6121313299944321,0.68415,0.00135,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Ghana,L,1665.494363230632,14.32,13.69,0.6300000000000008,4.601899196493797,0.6881,5e-05,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Algeria,J,1843.5484552614075,13.84,13.37,0.4700000000000006,3.515332834704568,0.47025,0.00155,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Congo DR,K,1767.0496499835244,13.54,13.3,0.2399999999999984,1.8045112781954769,0.5014,0.0005,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Bosnia-Herzegovina,B,1656.6626721673915,13.37,13.22,0.1499999999999985,1.1346444780635292,0.5821,0.0001,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Turkey,D,1884.3469349321424,13.19,12.96,0.2299999999999986,1.7746913580246808,0.4079,0.00135,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,New Zealand,G,1741.7914963942346,12.52,12.8,-0.2800000000000011,-2.187500000000009,0.49405,0.0001,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Paraguay,D,1833.8981262528123,11.88,11.62,0.2600000000000015,2.237521514629962,0.35915,0.0007,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Saudi Arabia,H,1715.6361828810457,11.78,11.49,0.2899999999999991,2.523933855526537,0.4775,0.0002,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Cape Verde Islands,H,1672.3271453576558,10.71,10.76,-0.0499999999999989,-0.4646840148698786,0.44805,0.0,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Uzbekistan,K,1798.308751550387,10.21,9.95,0.2600000000000015,2.6130653266331816,0.31255,0.0001,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Qatar,B,1605.9621249021352,9.87,9.75,0.1199999999999992,1.2307692307692228,0.37625,0.0,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Panama,L,1786.09720098981,8.97,8.83,0.1400000000000005,1.5855039637599158,0.2568,0.0001,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,South Africa,A,1661.6458858750732,7.62,8.29,-0.669999999999999,-8.082026537997576,0.16245,5e-05,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,played
2026-06-18T18:17:55.224279+00:00,Czechia,A,1748.0321792128898,7.38,12.64,-5.260000000000001,-41.61392405063292,0.13195,0.00025,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,played
2026-06-18T18:17:55.224279+00:00,Jordan,J,1742.5670052481723,7.29,7.07,0.2199999999999997,3.111739745403108,0.16,5e-05,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Iraq,I,1704.3317392397837,6.84,6.61,0.2299999999999995,3.479576399394849,0.1219,0.0,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Tunisia,F,1675.2885169556612,6.17,6.07,0.0999999999999996,1.6474464579901094,0.09275,5e-05,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Haiti,C,1681.7819849681869,6.13,6.03,0.0999999999999996,1.658374792703145,0.08275,0.0,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
2026-06-18T18:17:55.224279+00:00,Curaçao,E,1587.3152630007648,5.67,5.54,0.1299999999999999,2.346570397111912,0.05495,0.0,phase7_automated_group_stage_v1,provisional_constraint_assignment,537329,Czechia 1-1 South Africa,other
