team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Japan,F,1954.9668103896377,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35,15.0,31,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,15.0,0.0,0.0
Ivory Coast,E,1823.723032454427,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34,15.0,32,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,21.8,-6.800000000000001,-31.19266055045872
Iran,G,1873.4078788308684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32,5.0,33,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Haiti,C,1657.7903422759043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31,5.0,34,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Czechia,A,1731.2587132929823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29,5.0,35,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Curaçao,E,1590.2975033938003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28,5.0,36,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Jordan,J,1715.5967031705195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36,5.0,37,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
New Zealand,G,1678.9442908209887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38,5.0,38,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Panama,L,1753.9772103673267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39,5.0,39,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Iraq,I,1661.1474098625897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,5.0,40,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Qatar,B,1549.5494030220432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40,5.0,41,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Saudi Arabia,H,1705.9341181708846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41,5.0,42,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Scotland,C,1800.6524904944006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42,5.0,43,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
South Korea,A,1825.9460475707715,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44,5.0,44,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Tunisia,F,1648.6081559732288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45,5.0,45,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Turkey,D,1891.3502864268487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46,5.0,46,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Uruguay,H,1907.5228774752184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47,5.0,47,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
Uzbekistan,K,1723.1994397509068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48,5.0,48,2026-06-30 19:08:53.310903+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,5.0,0.0,0.0
